img_id,img_filename,y,split,place,group_id,place_filename
11306,192.Downy_Woodpecker/Downy_Woodpecker_0102_184263.jpg,0,0,0,0,/b/bamboo_forest/00003772.jpg
11557,197.Marsh_Wren/Marsh_Wren_0038_188530.jpg,0,0,0,0,/f/forest/broadleaf/00001673.jpg
7691,132.White_crowned_Sparrow/White_Crowned_Sparrow_0067_127576.jpg,0,0,0,0,/f/forest/broadleaf/00002262.jpg
2217,039.Least_Flycatcher/Least_Flycatcher_0082_30132.jpg,0,0,0,0,/b/bamboo_forest/00000761.jpg
873,016.Painted_Bunting/Painted_Bunting_0066_15241.jpg,0,0,0,0,/b/bamboo_forest/00003780.jpg
10709,182.Yellow_Warbler/Yellow_Warbler_0069_176346.jpg,0,0,0,0,/b/bamboo_forest/00001773.jpg
4218,073.Blue_Jay/Blue_Jay_0089_61521.jpg,0,0,0,0,/f/forest/broadleaf/00002510.jpg
6291,108.White_necked_Raven/White_Necked_Raven_0042_797356.jpg,0,0,0,0,/b/bamboo_forest/00002680.jpg
9295,159.Black_and_white_Warbler/Black_And_White_Warbler_0098_160808.jpg,0,0,0,0,/b/bamboo_forest/00002306.jpg
8830,151.Black_capped_Vireo/Black_Capped_Vireo_0041_797452.jpg,0,0,0,0,/f/forest/broadleaf/00004216.jpg
621,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0018_8588.jpg,0,0,0,0,/b/bamboo_forest/00003626.jpg
6535,112.Great_Grey_Shrike/Great_Grey_Shrike_0045_797047.jpg,0,0,0,0,/b/bamboo_forest/00004237.jpg
8836,151.Black_capped_Vireo/Black_Capped_Vireo_0022_797459.jpg,0,0,0,0,/f/forest/broadleaf/00004006.jpg
11189,190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0063_794726.jpg,0,0,0,0,/f/forest/broadleaf/00000925.jpg
3121,054.Blue_Grosbeak/Blue_Grosbeak_0111_36841.jpg,0,0,0,0,/b/bamboo_forest/00003094.jpg
1878,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0026_27160.jpg,0,0,0,0,/f/forest/broadleaf/00002591.jpg
6258,107.Common_Raven/Common_Raven_0057_101324.jpg,0,0,0,0,/b/bamboo_forest/00004737.jpg
11153,190.Red_cockaded_Woodpecker/Red_Cockaded_Woodpecker_0002_794696.jpg,0,0,0,0,/b/bamboo_forest/00004367.jpg
9027,154.Red_eyed_Vireo/Red_Eyed_Vireo_0002_156470.jpg,0,0,0,0,/b/bamboo_forest/00004057.jpg
10941,186.Cedar_Waxwing/Cedar_Waxwing_0029_179569.jpg,0,0,0,0,/b/bamboo_forest/00004179.jpg
8060,138.Tree_Swallow/Tree_Swallow_0067_136244.jpg,0,0,0,0,/b/bamboo_forest/00001288.jpg
11660,198.Rock_Wren/Rock_Wren_0045_189153.jpg,0,0,0,0,/f/forest/broadleaf/00003344.jpg
7840,134.Cape_Glossy_Starling/Cape_Glossy_Starling_0019_129407.jpg,0,0,0,0,/b/bamboo_forest/00004624.jpg
6546,112.Great_Grey_Shrike/Great_Grey_Shrike_0058_106634.jpg,0,0,0,0,/b/bamboo_forest/00002067.jpg
11044,188.Pileated_Woodpecker/Pileated_Woodpecker_0032_180347.jpg,0,0,0,0,/f/forest/broadleaf/00004100.jpg
11054,188.Pileated_Woodpecker/Pileated_Woodpecker_0008_180400.jpg,0,0,0,0,/f/forest/broadleaf/00000951.jpg
7534,129.Song_Sparrow/Song_Sparrow_0013_121056.jpg,0,0,0,0,/b/bamboo_forest/00001548.jpg
9553,163.Cape_May_Warbler/Cape_May_Warbler_0022_162912.jpg,0,0,0,0,/f/forest/broadleaf/00002600.jpg
1493,027.Shiny_Cowbird/Shiny_Cowbird_0083_796834.jpg,0,0,0,0,/b/bamboo_forest/00000314.jpg
2165,038.Great_Crested_Flycatcher/Great_Crested_Flycatcher_0092_29583.jpg,0,0,0,0,/f/forest/broadleaf/00003322.jpg
